Distance,Angle,X,Y,BB width,BB Height,CH Area,Flap Left,Flap Right,Equiv rect long,Equiv rect short,Feret Diameter
4,0,301.7,105.6,93,33,2750,0.6,0.6,,,
5,0,304.5,146,86,34,2670,0.5,0.5,,,
6,0,309.5,184.5,79,35,2500,0.49,0.49,,,
7,0,300.8,213.8,74,34,2350,0.48,0.48,,,
8,0,308.5,239.2,68,35,2160,0.47,0.47,,,
9,0,303.2,261.7,64,34,2020,0.455,0.455,,,
10,0,300.5,281.9,60,33,1890,N/A,N/A,,,
11,0,300.7,302.2,57,33,1780,N/A,N/A,,,
12,0,302.2,317.7,53,33,1640,N/A,N/A,,,

4,30,189,79,109,67,3520,,,,,

7,35,307,214.5,64,56,2150,,,111,8.3,
7,25,298.7,216.5,,,,,,112,8.9,81.4
